# ALMA, Llano de Chajnantor, alt. 5040m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
          0.25000  0.50000  1.00000  2.00000  3.00000  5.00000 
45.60000  0.95609  0.95571  0.95496  0.95345  0.95195  0.94894 
45.70000  0.95542  0.95504  0.95428  0.95277  0.95126  0.94824 
45.80000  0.95472  0.95434  0.95359  0.95207  0.95055  0.94753 
45.90000  0.95402  0.95363  0.95287  0.95135  0.94983  0.94680 
46.00000  0.95329  0.95291  0.95215  0.95062  0.94910  0.94605 
46.10000  0.95255  0.95217  0.95140  0.94987  0.94834  0.94529 
46.20000  0.95179  0.95140  0.95064  0.94910  0.94757  0.94451 
46.30000  0.95100  0.95062  0.94985  0.94831  0.94678  0.94371 
46.40000  0.95020  0.94982  0.94905  0.94750  0.94596  0.94288 
46.50000  0.94938  0.94900  0.94822  0.94668  0.94513  0.94204 
46.60000  0.94854  0.94815  0.94738  0.94583  0.94428  0.94118 
46.70000  0.94768  0.94729  0.94651  0.94496  0.94340  0.94030 
46.80000  0.94679  0.94640  0.94562  0.94406  0.94250  0.93939 
46.90000  0.94588  0.94549  0.94471  0.94314  0.94158  0.93846 
47.00000  0.94495  0.94456  0.94377  0.94220  0.94064  0.93751 
47.10000  0.94399  0.94359  0.94281  0.94124  0.93967  0.93653 
47.20000  0.94300  0.94261  0.94182  0.94025  0.93867  0.93553 
